doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-instant-refund,data\shopee-returns\shopee-instant-refund.md,Phản hồi đề xuất hoàn tiền ngay,https://help.shopee.vn/portal/4/article/190387,2026-09-20,not-stated,public-source
shopee-refund-timeline,data\shopee-returns\shopee-refund-timeline.md,Thời gian nhận tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source
shopee-return-conditions,data\shopee-returns\shopee-return-conditions.md,Điều kiện và thời hạn trả hàng,https://help.shopee.vn/portal/4/article/188931,2026-09-20,not-stated,public-source
shopee-return-evidence,data\shopee-returns\shopee-return-evidence.md,Bằng chứng khi yêu cầu trả hàng,https://help.shopee.vn/portal/4/article/79467,2026-09-20,not-stated,public-source
shopee-return-policy-buyer,data\shopee-returns\shopee-return-policy-buyer.md,Chính sách trả hàng dành cho người mua,https://help.shopee.vn/portal/4/article/77251,2026-09-20,2026-03-11,public-source
shopee-return-policy-seller,data\shopee-returns\shopee-return-policy-seller.md,Quyền và trách nhiệm của người bán khi trả hàng,https://help.shopee.vn/portal/4/article/77251,2026-09-20,2026-03-11,public-source
shopee-return-process,data\shopee-returns\shopee-return-process.md,Quy trình xử lý yêu cầu trả hàng,https://help.shopee.vn/portal/4/article/190242,2026-09-20,not-stated,public-source
shopee-return-request,data\shopee-returns\shopee-return-request.md,Hướng dẫn gửi yêu cầu trả hàng,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,public-source
shopee-return-restrictions,data\shopee-returns\shopee-return-restrictions.md,Sản phẩm hạn chế trả hàng,https://help.shopee.vn/portal/4/article/79465,2026-09-20,not-stated,public-source
shopee-return-shipping,data\shopee-returns\shopee-return-shipping.md,Phương thức và phí gửi hàng hoàn trả,https://help.shopee.vn/portal/4/article/189477,2026-09-20,not-stated,public-source
