url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/190387,shopee-instant-refund,Phản hồi đề xuất hoàn tiền ngay,buyer,instant-refund,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/189473,shopee-refund-timeline,Thời gian nhận tiền hoàn,buyer,refund-timeline,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/188931,shopee-return-conditions,Điều kiện và thời hạn trả hàng,buyer,return-conditions,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/79467,shopee-return-evidence,Bằng chứng khi yêu cầu trả hàng,buyer,return-evidence,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77251,shopee-return-policy-buyer,Chính sách trả hàng dành cho người mua,buyer,return-policy,vi,2026-03-11,public-source
https://help.shopee.vn/portal/4/article/77251,shopee-return-policy-seller,Quyền và trách nhiệm của người bán khi trả hàng,seller,return-policy,vi,2026-03-11,public-source
https://help.shopee.vn/portal/4/article/190242,shopee-return-process,Quy trình xử lý yêu cầu trả hàng,buyer,return-process,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/79233,shopee-return-request,Hướng dẫn gửi yêu cầu trả hàng,buyer,return-request,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/79465,shopee-return-restrictions,Sản phẩm hạn chế trả hàng,buyer,return-restrictions,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/189477,shopee-return-shipping,Phương thức và phí gửi hàng hoàn trả,buyer,return-shipping,vi,not-stated,public-source
